"en"|"fr"|"author"|"role"
"The smartest thing you can do as a programmer is realize how stupid you are, and make accommodations."|"La chose la plus intelligente que vous puissiez faire en tant que programmeur est de réaliser à quel point vous êtes stupide, et de faire des aménagements."|"Jason Swett"|"Développeur Logiciel"
"Any fool can write code that a computer can understand. Good programmers write code that humans can understand."|"N'importe quel imbécile peut écrire du code qu'un ordinateur peut comprendre. Les bons programmeurs écrivent du code que les humains peuvent comprendre."|"Martin Fowler"|"Auteur et Confériencier"
"Sometimes it's better to leave something alone, to pause, and that's very true of programming."|"Parfois, il est préférable de laisser quelque chose tranquille, de faire une pause, et c'est tout à fait vrai pour la programmation."|"Joyce Wheeler"|"chercheuse à l'université de Cambridge"
"If you aren't sure which way to do something, do it both ways and see which works better."|"Si vous n'êtes pas sûr de la manière de faire quelque chose, faites les deux et voyez ce qui fonctionne le mieux."|"John Carmack"|"Directeur technique d'Oculus VR"
"The purpose of software engineering is to control complexity, not to create it."|"Le but de l'ingénierie logicielle est de contrôler la complexité, et non de la créer."|"Pamela Zave"|"Informaticienne"
"Computer languages differ not so much in what they make possible, but in what they make easy."|"Les langages informatiques diffèrent non pas par rapport à ce qu'ils permettent, mais par rapport à ce qu'ils facilitent."|"Larry Wall"|"Concepteur de langages de programmation"
"I apologize for writing a complicated program. I didn't have time to write a simple one."|"Je m'excuse d'avoir écrit un programme compliqué. Je n'ai pas eu le temps d'en écrire un simple."|"Tim Sweeney"|"CEO de Epic Games"
"You never finish a program, you just stop working on it."|"On ne termine jamais un logiciel, on interrompt simplement le travail."|"Anomyme"|"-"
"The most effective debugging tool is still careful thought, coupled with judiciously placed print statements."|"L'outil de débogage le plus efficace reste une réflexion approfondie, associée à des instructions print judicieusement placées."|"Brian W. Kernighan"|"Informaticien"
"Do not fall for the illusion that by preventing errors, you won’t have errors to fix. The truth is, the cost of preventing errors is often far greater than the cost of fixing them."|"Ne tombez pas dans l'illusion qu'en prévenant les erreurs, vous n'aurez pas d'erreurs à réparer. En réalité, le coût de la prévention des erreurs est souvent bien plus élevé que celui de leur correction."|"Edwin Catmull"|"Président de Walt Disney Animation Studios"
"Rarely is anyone thanked for the work they did to prevent the disaster that didn't happen."|"Il est rare que quelqu'un soit remercié pour le travail qu'il a accompli afin d'éviter une catastrophe qui n'a pas eu lieu."|"Mikko Hypponen"|"Expert en sécurité informatique"
"Good code is its own best documentation. As you're about to add a comment, ask yourself, 'How can I improve the code so that this comment isn't needed?' Improve the code and then document it to make it even clearer."|"Un bon code est sa propre meilleure documentation. Lorsque vous vous apprêtez à ajouter un commentaire, demandez-vous comment améliorer le code pour que ce commentaire ne soit pas nécessaire. Améliorez le code, puis documentez-le pour le rendre encore plus clair."|"Steve McConnell"|"Expert en génie logiciel"
"To me programming is more than an important practical art. It is also a gigantic undertaking in the foundations of knowledge."|"Pour moi, la programmation est plus qu'un aspect pratique important. C'est aussi une démarche géante dans les bases de la connaissance."|"Grace Hopper"|"Informaticienne"
"One accurate measurement is worth a thousand expert opinions."|"Une mesure précise vaut un millier d'avis d'experts."|"Grace Hopper"|"Informaticienne"
"The most important single aspect of software development is to be clear about what you are trying to build."|"L'aspect le plus important du développement de logiciels est d'être clair sur ce que vous essayez de construire."|"Bjarne Stroustrup"|"Informaticien"
"You haven't mastered a tool until you understandt when it should not be used."|"Vous n'avez pas maîtrisé un outil tant que vous n'avez pas compris quand il ne doit pas être utilisé."|"Kelsey Hightower"|"Développeur"
"Assume the next person to maintain your code won’t be as smart as you. When you can use fewer technologies, do so."|"Partez du principe que la prochaine personne chargée de la maintenance de votre code ne sera pas aussi intelligente que vous. Lorsque vous pouvez utiliser moins de technologies, faites-le."|"Joel Goldberg"|"Développeur"
"The first step of any project is to grossly underestimate its complexity and difficulty."|"La première étape de tout projet consiste à sous-estimer considérablement sa complexité et sa difficulté."|"Nicoll Hunt"|"Développeur"
"Functions should do one thing. They should do it well. They should do it only."|"Les fonctions doivent faire une chose. Elles doivent le faire bien. Elles doivent le faire exclusivement."|"Robert C. Martin"|"Ingénieur et Auteur"
"When debugging, novices insert corrective code, experts remove defective code."|"Lors du débogage, les novices insèrent du code correcteur , les experts suppriment le code défectueux."|"Richard E. Pattis"|"Professeur à l'Université de Californie"
"Measuring programming progress by lines of code is like measuring aircraft building progress by weight."|"Mesurer les progrès de la programmation en lignes de code, c'est comme mesurer les progrès de la construction d'un avion en poids."|"Bill Gates"|"Entrepreneur"
"The proper use of comments is to compensate for our failure to express ourself in code."|"Le bon usage des commentaires est de compenser notre incapacité à nous exprimer en code."|"Robert C. Martin"|"Ingénieur et Auteur"
"In order to understand recursion, one must first understand recursion."|"Pour comprendre la récursion, il faut d'abord comprendre la récursion."|"Anomyme"|"-"
"I think it's very important to get more women into computing. My slogan is: Computing is too important to be left to men."|"Je pense qu'il est très important de faire entrer plus de femmes dans l'informatique. Mon slogan est le suivant : l'informatique est trop importante pour être laissée aux hommes."|"Karen Spärck Jones"|"Chercheuse en informatique"
"Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live."|"Toujours programmer comme si le gars qui finit par maintenir votre code sera un psychopathe violent qui sait où vous vivez."|"Martin P. Golding"|"Professeur"
"The only way to learn a new programming language is by writing programs in it."|"La seule façon d'apprendre un nouveau langage de programmation est d'écrire des programmes dans ce langage."|"Dennis Ritchie"|"Inventeur"
"The craft of programming begins with empathy, not formatting or languages or tools or algorithms or data structures."|"L'art de la programmation commence par l'empathie, et non par le formatage, les langages, les outils, les algorithmes ou les structures de données."|"Kent Beck"|"Informaticien"
"Documentation is a love letter that you write to your future self."|"La documentation est une lettre d'amour que vous écrivez à votre futur vous."|"Damian Conway"|"Informaticien"
"A programming language is low level when its programs require attention to the irrelevant."|"Un langage de programmation est de bas niveau lorsque ses programmes nécessitent de prêter attention aux éléments non pertinents."|"Alan Perlis"|"Concepteur de langages de programmation"
"The competent programmer is fully aware of the strictly limited size of his own skull; therefore he approaches the programming task in full humility, and among other things he avoids clever tricks like the plague."|"Le programmeur compétent est pleinement conscient de la taille strictement limitée de son propre crâne ; il aborde donc la tâche de programmation en toute humilité, et évite notamment les astuces comme la peste."|"Edsger Dijkstra"|"Mathématicien"
"Theory and practice sometimes clash. And when that happens, theory loses. Every single time."|"La théorie et la pratique s'opposent parfois. Et quand cela arrive, la théorie perd. A chaque fois."|"Linus Torvalds"|"Informaticien logiciel"
